,0
0,55.965998609364036
1,66.04999830424785
2,72.85599812865257
3,77.7519982546568
4,79.379998087883
5,79.99999816417694
6,78.59999809265136
7,73.8599982380867
8,77.40999807715416
9,73.8399983137846
10,76.72999817728996
11,75.72399820685386
12,72.73599818348885
13,73.11599840521812
14,72.94999815225601
15,72.06599831581116
16,72.53599817752838
17,72.90599830150605
18,70.21599836945533
19,70.96399836242199
20,70.88599826097489
21,69.27399843633175
22,70.08999833464622
23,69.37999825775623
24,69.49799830913544
25,68.50599838495255
26,68.37999837398529
27,67.86799855828285
28,68.24999843537807
29,67.65999841094018
30,67.46399849951267
31,66.74199840426445
32,66.75999854803085
33,65.86799846291542
34,66.50599838495255
35,67.01799842119217
36,66.50999845266342
37,66.33199835419654
38,66.47199850678444
39,66.16799857318401
40,66.07199850678444
41,65.90799861550332
42,66.29399841427804
43,66.51799830198289
44,65.74399849772453
45,66.11199843287469
46,65.76599851250648
47,65.93399844169616
48,65.58999857902526
49,64.99599836468697
50,66.0159983754158
51,65.94399847984315
52,66.09199843406677
53,66.5679984331131
54,65.38399856686593
55,66.13599846363067
56,66.45599830150604
57,66.06199834942818
58,66.31999843120575
59,66.1219985961914
60,66.42999842166901
61,65.94399845004082
62,67.6859984099865
63,66.977998316288
64,65.45199852585793
65,65.85599852204322
66,66.3239983677864
67,67.35399847626687
68,66.00999836921692
69,66.7219984471798
70,67.02999849915504
71,66.45999838113785
72,66.8119983434677
73,66.70399840474128
74,66.4899984896183
75,67.68999836444854
76,67.15799835324287
77,67.08999856114387
78,66.8519984304905
79,67.6939983844757
80,66.163998401165
81,66.32999846339226
82,67.05199846029282
83,66.94599837660789
84,68.23399839997292
85,68.51399840116501
86,66.71399838328361
87,67.27999841570855
88,68.09799835681915
89,67.50999839305878
90,67.03799833059311
91,67.31799846887589
92,67.68999837636947
93,67.89199850559234
94,68.29599839448929
95,67.93399838805199
96,66.84999844431877
97,67.93599818944931
98,68.00799846053124
99,68.1799983561039
100,16.785999527201056
101,20.567999444901943
102,24.053999322652817
103,23.713999346643686
104,26.057999235391616
105,27.253999269008638
106,28.937999239563943
107,30.809999299049377
108,32.26599916517735
109,32.09399923980236
110,32.87799922823906
111,33.97599927783013
112,34.81399921476841
113,35.51399923861027
114,35.77599920630455
115,36.54799918830395
116,39.63799896836281
117,40.68999891281128
118,41.65599892139435
119,41.82799894809723
120,42.299998885393144
121,42.907998925447465
122,43.279998916387555
123,43.93999881744385
124,44.12599891424179
125,44.271998757123946
126,44.8999988257885
127,46.14599885344505
128,48.93399873971939
129,50.17399868965149
130,50.78599865436554
131,51.46799879670143
132,52.07999879717827
133,52.901998633146285
134,53.28799869418144
135,53.57999871373177
136,54.111998760700224
137,54.43599870800972
138,54.795998823642734
139,55.08999875187874
140,55.273998719453814
141,55.28599865436554
142,55.62599869966507
143,55.96999887228012
144,57.55399876832962
145,58.01199862957001
146,58.53799864053726
147,58.98999862670898
148,59.09999865293503
149,59.71799879670143
150,60.05799862742424
151,60.9039987206459
152,61.23199850320816
153,61.62999879717827
154,62.05999862551689
155,62.21799854040146
156,62.851998621225356
157,63.44399851560593
158,63.39799867868423
159,63.359998691082
160,63.43199857473373
161,63.621998524665834
162,63.81199859380722
163,63.937998592853546
164,64.09399859905243
165,64.44799853563309
166,64.82999840974807
167,64.54599848985671
168,64.85399858951568
169,65.05999831557274
170,64.98599852323532
171,65.21399836540222
172,65.35199865102769
173,65.0839985191822
